Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation,Start Date,End Date,Source,Language,World Region,Provider
Emergency Transitions Monitor,https://www.lse.ac.uk/cities/research/urban-governance/Emergency-Governance-for-Cities-and-Regions,Regions and Cities,"The project is collecting and analysing data from cities and regions on how they are transitioning into and out of emergency modes. This monitor will initially focus on COVID-19 urban governance and actions while centrally considering interventions beyond the immediate crisis responses. In particular, it will monitor to what extent crisis response experiments may become new fixtures of post-crisis governance.",worldwide,pdf,Philipp Rode; Edgardo Bilsky; Oscar Chamat; [Nuno F da Cruz](https://twitter.com/NFdaCruz); Ainara FernÃ¡ndez Tortosa; Anna Calvete Moreno; [LSECities](https://twitter.com/LSECities),Policy Tracker,sub-national,2020-06-05,2022-04-01,Academics,,worldwide,Companies
IZA Crisis Response Monitoring,https://covid-19.iza.org/crisis-monitor/,Social and Employment Policy,Short-Run Labor Market Impacts of COVID-19 and Initial Policy Measures. IZA has invited a small number of labor economists as country experts to jointly monitor these crisis responses.,AUT; FRA; DEU; ITA; NLD; PRT; SVK; ESP; SWE; CHE; GBR; USA,pdf,Werner Eichhorst; Paul Marx; Ulf Rinne; [IZA](https://twitter.com/iza_bonn),Policy Tracker,national,2020-02-24,up-to-date,International organisations; Think tanks,,OECD; West Europe; North America,Academics
IZA Data Resources on the COVID-19 Pandemic,https://www.iza.org/research/idsc/covid-19-resources,Collection of Sources,"The collection is wide and ranges from snapshots of surveys with self-selected samples, representative surveys, longitudinal studies, experiments. IZAâ€™s Research Data Center (IDSC) collects and curates the information on such new initiatives.",worldwide,html; non-downloadable,[IZA](https://twitter.com/iza_bonn); [Research Data Center of IZA](https://twitter.com/idsc_bonn?lang=en),Policy Tracker,,2020-04-20,up-to-date,International organisations; Academics; Think tanks; Companies; other trackers,,worldwide,Academics
Data4sdgs COVID-19 Data Resources,http://www.data4sdgs.org/resources/covid-19-data-resources,Collection of Sources,"a round-up of resources including data, regional and country-level dashboards, visualizations and maps, response and calls to action, research and analysis, and tools.",worldwide,html; non-downloadable,[Global Partnership for Sustainable Development Data](http://www.data4sdgs.org/index.php/),Policy Tracker,,2020-03-16,2021-04-23,Governmental agencies; International organisations; Academics; Media; Companies; Think tanks; other trackers,,worldwide,NGOs
CIHI COVID-19 Intervention Scan,https://www.cihi.ca/en/covid-19-intervention-scan,Health and Care Policy; Non-Pharmaceutical Interventions,"It includes case finding and management, physical distancing, health workforce capacity, health service delivery, and travel restrictions as well as contextual information, such as the timing of spring breaks announced or implemented by federal, provincial and territorial governments as well as professional regulatory bodies.",Canada,xlsx,[Canadian Institute for Health Information (CIHI)](https://twitter.com/CIHI_ICIS),Policy Tracker,national; sub-national,2020-05-05,up-to-date,Governmental agencies,,North America,Governmental agencies
ISSA Coronavirus country measures,https://ww1.issa.int/coronavirus/country-measures,Social and Employment Policy; Health and Care Policy,"Social security measures to address the health, social and economic impact of the coronavirus crisis, based on government announcements, institutional websites and media articles.",worldwide; AFG; ALB; DZA; AND; AGO; AIA; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CYM; TCD; CHL; CHN; COL; COG; COK; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRD; GLP; GTM; GIN; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KWT; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MTQ; MRT; MUS; MEX; MDA; MCO; MNG; MSR; MAR; MOZ; MMR; NAM; NPL; NLD; NCL; NZL; NIC; NER; NGA; MNP; NOR; OMN; PAK; PAN; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; TJK; THA; TLS; TGO; TTO; TUN; TUR; TCA; TUV; UGA; UKR; ARE; GBR; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; GGY; IMN; JEY; MNE; SRB; XKX; EU,html; non-downloadable,[The International Social Security Association (ISSA)](https://twitter.com/ISSACOMM),Policy Tracker,national,2020-03-21,up-to-date,Governmental agencies; International organisations; Think tanks; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
ETUI Covid Social Impact Timeline,https://www.etui.org/covid-social-impact,Social and Employment Policy;,"content related to industrial relations, labour market, pension reforms, strikes are displayed for information but no longer updated at the moment. All our efforts are currently concentrated to collect all relevant information on the social impact of COVID-19 and the role of trade union organisations. Other ETUI timelines include Greening; Health; EU response; EU sectoral, Industry, International, MS response, Social.",EU; AUT; BEL; BGR; HRV; CYP; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; IRL; ITA; LVA; LTU; LUX; MLT; NLD; POL; PRT; ROU; SVK; SVN; ESP; SWE; GBR,html; non-downloadable,[ETUI](https://twitter.com/ETUI_org); Christophe Degryse,Policy Tracker,,2020-01-01,2020-07-31,International organisations; Think tanks,,West Europe; Eastern Europe & Central Asia; European Union,NGOs
OxCOVID19 Database,https://covid19.eng.ox.ac.uk/,Collection of Sources,"large, single-centre, multimodal relational database consisting of information (using acknowledged Sources) related to COVID-19 pandemic. OxCOVID19 Database is currenlty comprised of six tables: EPIDEMIOLOGY, GOVERNMENT_RESPONSE, COUNTRY_STATISTICS, MOBILITY, WEATHER and ADMINISTRATIVE_DIVISION.",worldwide,csv; PostgreSQL,"[University of Oxford, Department of Engineering Science](https://twitter.com/OxEngineering)",Policy Tracker,,2020-01-30,up-to-date,Governmental agencies; International organisations; Academics,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Global Map of COVID-19 Household Energy Services Relief Measures,https://www.google.com/maps/d/edit?mid=1YuMvEJAuXItOW_xcg-gi8Fyi7_r58C3d&usp=sharing,Social and Employment Policy; Regions and Cities,"Energy; energy poverty; household support for electricity and gas supply; measures announced at national, regional or State/Province level, by governments, regulators, utilities and energy Companies.",worldwide,html; non-downloadable,[Marlies Hesselman](https://www.rug.nl/staff/m.m.e.hesselman/); [AnaÃ¯s Varo](http://www.anaisvaro.com/); [Rachel Guyet](https://www.eu-online-academy.org/EOA/en/6/rachel-guyet_85-1); [Harriet Thomson](https://twitter.com/harrimus),Policy Tracker,national; sub-national,2020-03-01,2021-02-28,Governmental agencies; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Coronavirus pandemic in the EU - Fundamental Rights Implications,https://fra.europa.eu/en/publication/2020/covid19-rights-impact-july-1#TabPubStudies,Civic Freedom and Human Rights,"civil, political and socioeconomic rights, such as: support for human rights systems and defenders, asylum, migration and borders, data protection, privacy and new technologies, equality, non-discrimination and racism, justice, victims’ rights and judicial cooperation",EU; AUT; BEL; BGR; HRV; CYP; DNK; EST; FIN; DEU; GRC; HUN; IRL; ITA; LVA; LTU; LUX; MLT; NLD; OMN; POL; PRT; ROU; SVK; SVN; ESP; SWE,pdf,[FRA European Union Agency for Fundamental Rights](https://twitter.com/EURightsAgency),Policy Tracker,national,2020-03-01,2020-07-29,International organisations; Think tanks,,West Europe; Eastern Europe & Central Asia; European Union,European Union
Grattan: coronavirus announcements tracker,https://docs.google.com/spreadsheets/d/1ZqnCmSueVD26Xrw1hMszi5Q_aQwsZJe78Y5HCLwXQ64/edit?usp=sharing,Civic Freedom and Human Rights; Macroeconomic and Financial Policy; Non-Pharmaceutical Interventions; Health and Care Policy; Education Policy; Social and Employment Policy,"A record of Australian Government policy announcements in response to the COVID-19 crisis in the areas of: Borders, Health, Welfare, Spatial distancing, Businesses, Schools, Monetary policy, Indigenous Australians",AUS,xlsx,[Grattan Institute](https://twitter.com/GrattanInst); [Anika Stobart](https://twitter.com/AnikaStobart),,national; sub-national,2020-01-23,2020-12-18,Governmental agencies,,East Asia & Pacific,Think tanks
World Bank Education Team COVID tracking database and map of school closures,https://www.worldbank.org/en/data/interactive/2020/03/24/world-bank-education-and-covid-19,Education Policy,"School closures related to the COVID-19 pandemic, number of children out of school, and schools reopening",worldwide; AFG; ALB; DZA; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CYM; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; CIV; HRV; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; LVA; LBN; LSO; LBR; LBY; LTU; LUX; MAC; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MNG; MSR; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RUS; RWA; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TCA; TUV; UGA; UKR; ARE; GBR; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; MNE; SRB; SXM; SSD,csv,[World Bank Education Team](https://www.worldbank.org/en/data/interactive/2020/03/24/world-bank-education-and-covid-19),,national,2020-01-01,2021-03-15,International organisations,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
UNDP COVID-19 Global Gender Response Tracker,https://data.undp.org/gendertracker/,Gender; Social and Employment Policy,"highlights responses that have integrated a gender lens. It includes national measures that are directly addressing women’s economic and social security, including unpaid care work, the labour market and violence against women.",worldwide; AFG; ALB; DZA; AND; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GUY; HTI; HND; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MCO; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; SYR; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; YEM; ZMB; ZWE; MNE; SRB; SSD,html; non-downloadable,[UNDP](https://twitter.com/UNDP),,national,2020-01-16,2021-03-31,Governmental agencies; International organisations; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
Promoting and protecting women’s rights at national level,https://www.coe.int/en/web/genderequality/promoting-and-protecting-women-s-rights#{%2263001324%22:[39]},Gender; Civic Freedom and Human Rights,"measures to prevent violence against women, protect victims and prosecute perpetrators – as well as available data and indicators on gender-based violence and domestic violence during this period-and measures taken with respect to other relevant aspects, such as sexual health and reproductive rights, women’s economic independence and their role as workers in the pandemic, women’s role in unpaid and care work, vulnerable groups of women.",ALB; AND; ARM; AUT; AZE; BEL; BIH; BGR; HRV; CYP; CZE; DNK; EST; FIN; FRA; GEO; DEU; GRC; ISL; IRL; ITA; LVA; LTU; LUX; MLT; MCO; NLD; NOR; OMN; POL; PRT; ROU; SMR; SVN; ESP; SWE; CHE; TUR; MNE; SRB,html; non-downloadable,[Council of Europe](https://www.coe.int/en/web/portal/home),,national,2020-01-01,2020-03-31,Governmental agencies; International organisations,,West Europe; Eastern Europe & Central Asia,International organisations
ECFR's European Solidarity Tracker,https://www.ecfr.eu/solidaritytracker,"Politics, Elections, Policy Making; War, Peace and Civil Unrest",Instances of pan-European solidarity throughout the coronavirus crisis. It documents a dense network of mutual aid and cooperation across Europe and illustrates the critical role the EU has played throughout the coronavirus crisis.,EU; AUT; BEL; BGR; HRV; CYP; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; IRL; ITA; LVA; LTU; LUX; MLT; NLD; OMN; POL; PRT; ROU; SVK; SVN; ESP; SWE,html; pdf,[European Council on Foreign Relations](https://twitter.com/ecfr); [Claire Busse](https://twitter.com/claire_busse); [Ulrike Franke](https://twitter.com/rikefranke); [Rafael Loss](https://twitter.com/_RafaelLoss); [Jana Puglierin](https://twitter.com/jana_puglierin); [Marlene Riedl](https://twitter.com/Lena_Vassen); [Pawel Zerka](https://twitter.com/PawelZerka),,national,2020-03-04,2020-09-30,Governmental agencies; International organisations; Media,,West Europe; Eastern Europe & Central Asia,Think tanks
COVID-19 Policy Response Portal (CPR),https://public.tableau.com/profile/ifpri.td7290#!/vizhome/CPRPORTAL/Overview?publish=yes,"International Development, Philanthropy; Trade Policy and FDI; Civic Freedom and Human Rights; Macroeconomic and Financial Policy; Non-Pharmaceutical Interventions; Health and Care Policy; Education Policy; Social and Employment Policy",Aggregates policy responses in nine different domains for countries where IFPRI have regional projects.,ARM; BGD; BFA; CHN; EGY; ETH; GHA; GIN; IND; KAZ; MWI; MLI; MOZ; MMR; NER; NGA; PAK; PNG; RUS; RUS; RWA; SEN; LKA; SDN; TJK; TUN; TUR; UZB; ZMB,html; non-downloadable,[International Food Policy Research Institute (IFPRI)](https://twitter.com/IFPRI),Policy Tracker,national,2020-03-11,2020-12-18,Governmental agencies; International organisations; Media; Think tanks; other trackers,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa,NGOs
Disinformation Tracker,https://www.disinformationtracker.org/,"Politics, Elections, Policy Making; Civic Freedom and Human Rights; Media","This interactive map seeks to support human rights defenders in Sub-Saharan Africa by tracking and analysing all laws, policies and other government actions on disinformation across Sub-Saharan Africa.",AGO; BEN; BWA; BFA; BDI; CMR; CAF; TCD; COM; COG; CIV; GNQ; ERI; ETH; GAB; GMB; GHA; GIN; GNB; KEN; LSO; LBR; MDG; MWI; MLI; MRT; MUS; MOZ; NAM; NER; NGA; RWA; STP; SEN; SYC; SLE; SOM; ZAF; SDN; SWZ; TGO; UGA; ZMB; ZWE; SSD,html; non-downloadable,[Global Partners Digital](https://twitter.com/globalpartnersd),Policy Tracker,national,,,Governmental agencies,,Middle East & North Africa; Sub-Saharan Africa,Companies
The College Crisis Initiative (C2i),https://collegecrisis.shinyapps.io/dashboard/,Education Policy,"a map of ~3,000 colleges, community colleges, and universities in the United States showing their Fall 2020 plans for Academics instruction (Fully Online, Primarily Online, Hybrid, Primarily In Person, Fully In Person).",USA,html; non-downloadable,[Davidson College](https://twitter.com/DavidsonCollege),,sub-national,2020-08-01,2021-06-30,Academics; Media,,North America,Academics
ILO Monitor: COVID-19 and the world of work.,https://www.ilo.org/wcmsp5/groups/public/---dgreports/---dcomm/documents/briefingnote/wcms_749399.pdf,Social and Employment Policy,Change in employment and working hours by region and country income group,worldwide,pdf,[ILO](https://twitter.com/ilo),,supranational,2020-01-01,2020-06-30,International organisations; Academics,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
Governments' responses to COVID-19 dataset,https://www.openicpsr.org/openicpsr/project/119061/version/V6/view,Social and Employment Policy; Macroeconomic and Financial Policy; Health and Care Policy,It tracks 19 measures – 12 public health measures and 7 economic measures – taken by 229 governments on a daily basis. The tracking of the measures allows creating an index of the rigidity of public health measures and an index of economic response to the pandemic.,worldwide; AFG; ALB; DZA; AND; AGO; AIA; ATG; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CYM; CAF; TCD; CHL; CHN; COL; COM; COG; COK; CRI; CIV; HRV; CUB; CYP; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FRO; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRL; GRD; GUM; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MCO; MNG; MSR; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NCL; NZL; NIC; NER; NGA; NIU; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; TJK; TZA; THA; TLS; TGO; TKL; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; CUW; GGY; IMN; JEY; MNE; SRB; SSD; XKX,xlsx; dta,[Simon Porcher](https://twitter.com/SimonPorcher); [IAE Paris - Université Paris I Panthéon-Sorbonne](https://twitter.com/iaeparis),,national,2020-01-01,2020-10-01,International organisations; NGOs; Think tanks,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
COVID-19 US County Policies,https://github.com/hikmahealth/covid19countymap,Cases and Deaths; Health and Care Policy; Non-Pharmaceutical Interventions,"County-level COVID-19 policy dataset covering over 1,200 U.S. counties and Native American nations.",USA,html; csv,[Hikma Health](https://twitter.com/hikmahealth),,sub-national,2020-03-01,2020-07-31,Governmental agencies; Media; Academics; Think tanks,,North America,Companies
State Data and Policy Actions to Address Coronavirus,https://www.kff.org/health-costs/issue-brief/state-data-and-policy-actions-to-address-coronavirus/#policyactions,Health and Care Policy; Non-Pharmaceutical Interventions,"covers social distancing actions, health policy actions; health insurance coverage and influenza and pneumonia deaths and vaccinations",USA,html; non-downloadable,[Kaiser Family Foundation](https://twitter.com/KFF),,sub-national,2020-03-11,up-to-date,Governmental agencies; Think tanks,,North America,NGOs
COVID-19 Resource Tracker: A Guide to State and Local Responses,https://www.urban.org/policy-centers/health-policy-center/projects/covid-19-resource-tracker-guide-state-and-local-responses,Collection of Sources,"This guide is a spreadsheet compiling more than 100 resources tracking state and local data and policy responses in health care, food, housing, and income supports in the USA. It also includes resources on policies to reduce the spread of the disease, support specific populations, and help residents work, learn, and vote from home.",USA,xlsx,[Urban Institute](https://twitter.com/urbaninstitute),Collection,sub-national,2020-03-01,2021-04-09,Governmental agencies; Media; Academics; Think tanks; other trackers,,North America,Think tanks
Emergency responses for the supply of disinfectants against Covid-19,http://www.oecd.org/chemicalsafety/pesticides-biocides/emergency-responses-for-the-supply-of-disinfectants-against-covid-19.htm,Health and Care Policy,Policy responses to support the supply of disinfectant products such as hand sanitisers and wipes,AUS; BEL; DNK; CAN; EU; DEU; LTU; NLD; SWE; USA,html; non-downloadable,[OECD Environment](https://twitter.com/OECD_ENV),,national,2020-03-11,up-to-date,Governmental agencies,,OECD; European Union; West Europe; North America; East Asia & Pacific; Eastern Europe & Central Asia,OECD; International organisations
School education during COVID-19: Were teachers and students ready?,http://www.oecd.org/education/coronavirus-education-country-notes.htm,Education Policy,"The COVID-19 country notes aim to bring together evidence from various OECD education surveys, to examine countries’ responses to the COVID-19 crisis, with a view to inform and guide future policy responses to the crisis. These country notes focuses on the level of preparedness of educational systems to support the learning of students during the health crisis.",AUS; AUT; BEL; CAN; CHL; COL; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ISR; ITA; JPN; LVA; LTU; LUX; MEX; NLD; NZL; NOR; POL; PRT; RUS; RUS; SVN; ESP; SWE; CHE; TUR; GBR,pdf,[OECD Education](https://twitter.com/OECDEduSkills),,national,,,International organisations,,West Europe; North America; Latin America & the Caribbean; Eastern Europe & Central Asia; East Asia & Pacific; OECD,OECD; International organisations
ISSA Coronavirus news monitor,https://ww1.issa.int/coronavirus/media-monitor,Social and Employment Policy; Health and Care Policy,international media reports and policy documents on a broad range of social security measures.,worldwide; EU; ARG; AUS; BEL; BRA; CAN; CHN; COL; DNK; FRA; ISL; IRL; IND; IDN; ITA; JPN; KEN; MYS; MEX; NAM; NLD; NZL; PAK; PHL; RUS; RUS; ZAF; ESP; SWE; GBR; URY,html; non-downloadable,[The International Social Security Association (ISSA)](https://twitter.com/ISSACOMM),,,2020-03-12,up-to-date,Media; International organisations; Think tanks; Academics; Governmental agencies,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
World Bank - UNESCO- UNICEF Survey on National Education Responses to COVID-19 School Closures (First- wave results) , https://datacatalog.worldbank.org/dataset/survey-national-education-responses-covid-19-school-closures,Education Policy,National education responses to school closures related to the COVID-19 pandemic by surveying Ministries of Education and national statistics units. [See here for aggregate results](https://infogram.com/copy-copy-covid-fig-_r4-1hke60d1x7m525r?live).,worldwide; AFG; ALB; AND; AIA; ATG; ARG; ARM; AZE; BHS; BHR; BGD; BRB; BLZ; BEN; BTN; BOL; BIH; BWA; BGR; BFA; BDI; KHM; CYM; CHN; COL; COM; COG; COK; CRI; CUB; DJI; DMA; DOM; ECU; SLV; ETH; FJI; GMB; GEO; GHA; GIB; GTM; GIN; GUY; HND; HKG; HUN; IND; IDN; JAM; JPN; JOR; KAZ; KEN; KIR; KGZ; LAO; LBN; MAC; MYS; MDV; MLI; MRT; MUS; MEX; MCO; MSR; MAR; MOZ; MMR; NPL; NLD; NIC; NER; NGA; NIU; OMN; PAK; PLW; PNG; PHL; PRI; QAT; LCA; WSM; SMR; STP; SEN; SYC; SLE; SGP; SLB; LKA; SUR; SYR; THA; TLS; TGO; TON; TTO; TUN; TCA; TUV; ARE; URY; UZB; VEN; YEM; CUW; SRB,xlsx; dta,[World Bank Education Team](https://twitter.com/WBG_Education); [UNESCO-UIS](https://twitter.com/UNESCOstat); [UNICEF Education](https://twitter.com/UNICEFEducation),,,2020-04-20,2020-06-26,International organisations,,worldwide; Middle East & North Africa; Eastern Europe & Central Asia; East Asia & Pacific; Sub-Saharan Africa; Latin America & the Caribbean; Southeast Asia; West Europe,International organisations
COVID-19 In Vitro Diagnostic Devices and Test Methods Database,https://covid-19-diagnostics.jrc.ec.europa.eu/,Health and Care Policy,collects in a single place all publicly available information on performance of CE-marked in vitro diagnostic medical devices (IVDs) as well as in-house laboratory-developed devices and related test methods for COVID-19.,worldwide,html; non-downloadable,"[Joint Research Centre, European Commission](https://twitter.com/EU_ScienceHub)",,,2020-03-11,up-to-date,Academics; International organisations; Companies,,worldwide,European Union
Paid sick leave policy responses to the COVID-19 crisis,https://eur02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.oecd.org%2Femployment%2FCOVID19-paid-sick-leave-policy-responses.xlsx&data=02%7C01%7CStefan.THEWISSEN%40oecd.org%7C50fe6acaf5ad4614b9a008d81f34a91a%7Cac41c7d41f61460db0f4fc925a2b471c%7C0%7C1%7C637293658330576974&sdata=84Sj3NUOxQ7FPZr6sqxZ0LIDXrM4i4qhj2idieH2ow0%3D&reserved=0,Social and Employment Policy; Health and Care Policy,"documents policies to support sick workers, extend support beyond sick workers and to assist employers, such as measures affecting coverage, benefit level, duration, reporting etc.",AUS; AUT; BEL; CAN; CHL; COL; CRI; CZE; DNK; EST; FIN; FRA; DEU; GRC; HUN; ISL; IRL; ISR; ITA; JPN; LVA; LTU; LUX; MEX; NLD; NZL; NOR; POL; PRT; SVN; ESP; SWE; CHE; TUR; GBR; USA,xlsx,[OECD Social](https://twitter.com/OECD_Social); [Stefan Thewissen](https://twitter.com/ThewissenS),,national,2020-03-11,2020-06-30,Governmental agencies; International organisations; Think tanks,,West Europe; North America; Latin America & the Caribbean; Eastern Europe & Central Asia; East Asia & Pacific; OECD,OECD; International organisations
COVID-19 IP Policy Tracker,https://www.wipo.int/covid19-policy-tracker/#/covid19-policy-tracker/ipo-operations,Research and Innovation,"records information on measures adopted by Intellectual Property (IP) offices in response to the COVID-19 pandemic, such as the extension of deadlines. In addition, the policy tracker provides information on legislative and regulatory measures for access and voluntary actions.",worldwide; Europe; AFG; ALB; DZA; ATG; ARG; ARM; AUS; AUT; AZE; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; COK; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GNB; GUY; HND; HUN; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LAO; LVA; LBN; LSO; LBR; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MCO; MNG; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RUS; RWA; LCA; VCT; WSM; SMR; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; SYR; TJK; THA; TGO; TON; TTO; TUN; TUR; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; ZMB; ZWE; MNE; SRB,html; non-downloadable,[World Intellectual Property Organization (WIPO)](https://twitter.com/WIPO),,,2020-03-19,2021-05-19,Governmental agencies; International organisations; Think tanks,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
